"original_text","final_text","sentiment","sentiment_label","__index_level_0__"
"@urmoodboostyy @balabalabilibul @prillyyla @prabowo @aniesbaswedan Hahaha emang bner orang desa ga main saham, udah pro rakyat aja lu kritik, itu udah lama pemutihan umkm, ambruknya barusan","hahaha emang bner orang desa ga main saham, udah pro rakyat aja lu kritik, itu udah lama pemutihan umkm, ambruknya barusan",1,"neutral",6014
"gak pernah terbayang di pikiran gua presiden indonesia dibecandain punya hubungan spesial sama ajudannya anying kocak beut ni indonesia, presiden ga ada bener2 nya diliat2","gak pernah terbayang di pikiran gua presiden indonesia dibecandain punya hubungan spesial sama ajudannya anying kocak beut ni indonesia, presiden ga ada bener2 nya diliat2",1,"neutral",418
"Aelah pantes komen2 si pro pada ""yaelah baru 100 hari, sabar"" ""dipikir presiden kayak ketua kelas"" ""mahasew4"" 🙂","aelah pantes komen2 si pro pada ""yaelah baru 100 hari, sabar"" ""dipikir presiden kayak ketua kelas"" ""mahasew4"" 🙂",2,"positive",1210
"@48RequestHour MOT sama JOT gaada bedanya ini 48g  kebanyakan janji manis anjr  kek kampanye presiden","mot sama jot gaada bedanya ini 48g kebanyakan janji manis anjr kek kampanye presiden",2,"positive",3475
"@lulukhamidah Layak masuk dalam daftar reshuflle 100 Hari kinerja Kabinet Presiden @prabowo","layak masuk dalam daftar reshuflle 100 hari kinerja kabinet presiden",2,"positive",3611
"@bacottetangga__ pak @prabowo @gibran_tweet @Gerindra .... ini contoh rakyat Indonesia yang sangat mencintai negaranya ‼️ 👍","pak .... ini contoh rakyat indonesia yang sangat mencintai negaranya ‼️ 👍",2,"positive",2605
"Perang tarif dagang itu hanya akal akalan untuk pencitraan Prabowo seolah ada kinerjanya, padahal tarif dagang akal akalan.
Hingga hari ini belum terlihat kinerjanya baik para Mentri pembantunya juga.
Semua untuk menutupi kegagalan kinerjanya yg tak pernah dituntaskan, hukum dll.","perang tarif dagang itu hanya akal akalan untuk pencitraan prabowo seolah ada kinerjanya, padahal tarif dagang akal akalan. hingga hari ini belum terlihat kinerjanya baik para mentri pembantunya juga. semua untuk menutupi kegagalan kinerjanya yg tak pernah dituntaskan, hukum dll.",1,"neutral",8253
"@sekcation @mhuseinali Serius 10 tahun PDIP yg rusakin negara ini? Apa kebijakan presiden yg diatur oleh PDIP yg sampe salah banget menurut lu?
Cek semua menteri selama 10 tahun apa ada kader PDIP yg posisinya sangat startegis seperti BUMN?","serius 10 tahun pdip yg rusakin negara ini? apa kebijakan presiden yg diatur oleh pdip yg sampe salah banget menurut lu? cek semua menteri selama 10 tahun apa ada kader pdip yg posisinya sangat startegis seperti bumn?",0,"negative",173
"Ketua KPK pilihan Mulyono pasti akan menyerang kebijakan Prabowo.

Prabowo lemah.","ketua kpk pilihan mulyono pasti akan menyerang kebijakan prabowo. prabowo lemah.",1,"neutral",2060
"@antaranews Pemerintah dan presiden prabowo serta menterinya memikirkan ekonomi kerakyatan yang  bisa rakyat kecil jualan kaki lima,pasar dan rakyat indonesia bisa membeli barang dan sembako kembali ramai dan uang itu bisa berputar  kembali untuk menjaga perwkonomian kita tidak terpuruk.","pemerintah dan presiden prabowo serta menterinya memikirkan ekonomi kerakyatan yang bisa rakyat kecil jualan kaki lima,pasar dan rakyat indonesia bisa membeli barang dan sembako kembali ramai dan uang itu bisa berputar kembali untuk menjaga perwkonomian kita tidak terpuruk.",1,"neutral",9797
